FIPS_code,State,grpName,Lit_P1,Lit_P1_CI_L,Lit_P1_CI_U,Lit_P1_CV,Lit_P1_CI_L_indicator,Lit_P1_CV_indicator,Lit_P2,Lit_P2_CI_L,Lit_P2_CI_U,Lit_P2_CV,Lit_P2_CI_L_indicator,Lit_P2_CV_indicator,Lit_P3,Lit_P3_CI_L,Lit_P3_CI_U,Lit_P3_CV,Lit_P3_CV_indicator,Lit_A,Lit_A_CI_L,Lit_A_CI_U,Lit_A_CV,Num_P1,Num_P1_CI_L,Num_P1_CI_U,Num_P1_CV,Num_P1_CV_indicator,Num_P2,Num_P2_CI_L,Num_P2_CI_U,Num_P2_CV,Num_P2_CI_L_indicator,Num_P2_CV_indicator,Num_P3,Num_P3_CI_L,Num_P3_CI_U,Num_P3_CV,Num_P3_CI_L_indicator,Num_P3_CV_indicator,Num_A,Num_A_CI_L,Num_A_CI_U,Num_A_CV,POP,POP_DOMAIN,Male,Female,White,Black,Hispanic,Asian,AIAN,NHPI,Other_race,Less_HS,HS,More_HS,Eng_not_well,FB_after2010,FB_1990_2009,FB_before1990,FB,Poverty_100,Poverty_150,SNAP,Employed,Unemployed,Not_in_labor,OCC_Manage,OCC_Service,OCC_Sales,OCC_Natural,OCC_Military,OCC_Prod,No_Insurance
49,Utah,all,0.145,0.114,0.181,0.115,NA,NA,0.308,0.26,0.36,0.08,NA,NA,0.547,0.497,0.588,0.042,NA,273.9,267.2,279.7,0.012,0.223,0.19,0.265,0.085,NA,0.333,0.288,0.379,0.071,NA,NA,0.444,0.396,0.484,0.051,NA,NA,261.5,254.4,267.8,0.013,2993941,2053185,0.503,0.497,0.868,0.011,0.137,0.023,0.011,0.009,0.078,0.082,0.228,0.689,0.161,0.014,0.049,0.02,0.083,0.11,0.195,0.077,0.724,0.034,0.24,0.377,0.152,0.257,0.088,0.001,0.124,0.108
50,Vermont,all,0.128,0.093,0.161,0.131,NA,NA,0.333,0.285,0.381,0.073,NA,NA,0.539,0.495,0.585,0.041,NA,276.7,269.8,284.1,0.013,0.21,0.171,0.248,0.09,NA,0.356,0.307,0.406,0.07,NA,NA,0.434,0.386,0.483,0.055,NA,NA,264.9,257.6,272.7,0.014,624636,475780,0.493,0.507,0.945,0.013,0.018,0.015,0.003,0,0.023,0.077,0.296,0.627,0.094,0.009,0.02,0.016,0.045,0.114,0.196,0.128,0.739,0.035,0.225,0.408,0.172,0.214,0.099,0.001,0.106,0.048
51,Virginia,all,0.188,0.165,0.216,0.066,NA,NA,0.307,0.275,0.337,0.05,NA,NA,0.504,0.476,0.533,0.027,NA,270,266,273.9,0.007,0.284,0.259,0.314,0.049,NA,0.313,0.279,0.344,0.053,NA,NA,0.403,0.373,0.434,0.038,NA,NA,256.8,252.8,261,0.008,8365952,6227005,0.492,0.508,0.684,0.192,0.09,0.062,0.003,0.001,0.059,0.11,0.243,0.647,0.165,0.022,0.067,0.033,0.121,0.112,0.184,0.091,0.699,0.042,0.239,0.428,0.165,0.216,0.085,0.012,0.094,0.099
53,Washington,all,0.161,0.133,0.195,0.096,NA,NA,0.276,0.234,0.314,0.075,NA,NA,0.563,0.526,0.603,0.035,NA,274.7,268.5,280.5,0.011,0.235,0.203,0.27,0.071,NA,0.302,0.259,0.341,0.071,NA,NA,0.463,0.424,0.508,0.045,NA,NA,262.4,256,268.4,0.012,7169967,5325200,0.499,0.501,0.767,0.037,0.123,0.081,0.013,0.006,0.096,0.092,0.225,0.683,0.195,0.024,0.075,0.039,0.138,0.122,0.2,0.133,0.691,0.045,0.253,0.4,0.168,0.216,0.096,0.008,0.112,0.083
54,West Virginia,all,0.209,0.174,0.243,0.082,NA,NA,0.418,0.373,0.466,0.055,NA,NA,0.373,0.332,0.412,0.054,NA,259.8,253.9,265.9,0.012,0.328,0.286,0.364,0.059,NA,0.407,0.359,0.457,0.06,NA,NA,0.266,0.223,0.308,0.081,NA,NA,245.3,239.1,251.8,0.013,1836843,1363125,0.494,0.506,0.933,0.036,0.015,0.008,0.002,0,0.021,0.141,0.406,0.454,0.145,0.004,0.007,0.005,0.016,0.178,0.284,0.165,0.603,0.048,0.348,0.328,0.193,0.237,0.113,0.001,0.129,0.08
55,Wisconsin,all,0.153,0.126,0.181,0.089,NA,NA,0.342,0.303,0.378,0.056,NA,NA,0.506,0.473,0.542,0.034,NA,273,268.2,278.3,0.009,0.242,0.21,0.271,0.063,NA,0.36,0.319,0.398,0.055,NA,NA,0.397,0.361,0.439,0.049,NA,NA,259.4,254.1,265,0.01,5763217,4226670,0.497,0.503,0.859,0.063,0.066,0.026,0.009,0,0.042,0.083,0.313,0.604,0.165,0.009,0.026,0.014,0.049,0.123,0.203,0.121,0.752,0.038,0.21,0.356,0.168,0.226,0.085,0,0.166,0.065
56,Wyoming,all,0.136,0.103,0.174,0.127,NA,NA,0.353,0.305,0.408,0.073,NA,NA,0.51,0.46,0.555,0.047,NA,272.4,265.5,279,0.013,0.225,0.188,0.267,0.087,NA,0.376,0.329,0.424,0.065,NA,NA,0.398,0.349,0.443,0.059,NA,NA,259.6,251.8,266.4,0.014,583200,425950,0.511,0.489,0.913,0.01,0.097,0.009,0.023,0.001,0.044,0.072,0.287,0.64,0.133,0.006,0.021,0.009,0.036,0.111,0.191,0.058,0.736,0.037,0.22,0.334,0.179,0.207,0.153,0.004,0.123,0.119
1,Alabama,16_24,0.236,0.162,0.317,0.165,NA,NA,0.45,0.312,0.599,0.161,NA,NA,0.314,0.18,0.427,0.198,NA,253.1,241.3,264.7,0.023,0.408,0.279,0.538,0.158,NA,0.383,0.216,0.552,0.221,NA,NA,0.209,0.093,0.319,0.274,NA,NA,236,223,249.5,0.028,NA,599500,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.323,NA,0.42,NA,NA,NA,NA,NA,0.26,NA,NA,NA,NA,NA,NA,0.207,NA,NA,NA,NA,0.214
2,Alaska,16_24,0.095,0.033,0.173,0.379,NA,1,0.331,0.182,0.483,0.234,NA,NA,0.574,0.439,0.707,0.122,NA,278.3,265.9,291.2,0.023,0.139,0.051,0.246,0.361,1,0.462,0.3,0.618,0.176,NA,NA,0.4,0.269,0.529,0.165,NA,NA,264.2,251,277.8,0.026,NA,96010,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.311,NA,0.375,NA,NA,NA,NA,NA,0.137,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,0.253
4,Arizona,16_24,0.195,0.132,0.261,0.169,NA,NA,0.424,0.287,0.557,0.164,NA,NA,0.381,0.262,0.508,0.163,NA,260.9,248.9,274.8,0.025,0.345,0.225,0.452,0.168,NA,0.406,0.239,0.565,0.198,NA,NA,0.249,0.15,0.384,0.235,NA,NA,240.8,227.3,256.6,0.031,NA,855165,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.336,NA,0.407,NA,NA,NA,NA,NA,0.249,NA,NA,NA,NA,NA,NA,0.224,NA,NA,NA,NA,0.21
